ObjID,raMean,decMean,zMeanPSFMag,zMeanKronMag,nDetections,zQfPerfect
107973341268451425,334.12686433,-0.02422265,14.0249004364014,14.0767002105713,92,0.99896901845932
107963341314477549,334.13148872,-0.02735806,20.7765007019043,20.5242004394531,18,0.998856008052826
107963341224888220,334.12254502,-0.0269276,20.9519996643066,20.7059001922607,40,0.998290002346039
107953341313125870,334.13129717,-0.03717017,19.845100402832,19.9528007507324,56,0.998602986335754
107963341261291216,334.12613566,-0.03278194,20.11549949646,19.9328002929688,71,0.999190986156464
107883341367169467,334.13668449,-0.09248158,20.5811004638672,20.7017993927002,31,0.998009026050568
107913341284742204,334.12848476,-0.0736136,20.721700668335,20.8887004852295,50,0.998879015445709
107903341347823170,334.13479462,-0.0810814,20.1539001464844,20.3281002044678,66,0.999081015586853
107893341317240128,334.13170158,-0.09194491,20.6112995147705,20.5300006866455,27,0.998081982135773
107893341334619082,334.1335006,-0.08448117,20.1646995544434,20.1674003601074,49,0.999082982540131
107893341330496233,334.1331748,-0.08684709,20.6851005554199,20.4025993347168,44,0.998215973377228
107893341313354700,334.13134125,-0.08812193,18.9804992675781,19.0319995880127,65,0.999017000198364
107933341076951169,334.10770852,-0.05775159,20.2600002288818,20.2064990997314,64,0.998459994792938
107913341104778700,334.11031604,-0.06816993,21.0188999176025,20.4806995391846,12,0.997496008872986
107923341209562628,334.12097137,-0.06487329,20.542200088501,20.3234996795654,35,0.999687016010284
107893341187320378,334.11877212,-0.09184406,20.9022006988525,-999,26,0.998802006244659
107883341164647711,334.11656578,-0.09392098,20.4825000762939,20.5972003936768,38,0.999091982841492
107893341149640884,334.11515582,-0.09137573,18.2894992828369,18.3680000305176,73,0.999289989471436
107903341041541085,334.10416478,-0.08284431,15.6829996109009,15.7439002990723,83,0.999453008174896
107913341153712222,334.1153902,-0.07354046,16.5741004943848,16.6429996490479,73,0.999017000198364
107913341167932502,334.11682689,-0.07331762,18.5550003051758,18.6749992370605,66,0.99924498796463
107993340720375087,334.07212056,-0.00453159,21.0447006225586,-999,11,0.998310029506683
107973340752965115,334.07524774,-0.02111056,20.7600002288818,20.9102001190186,22,0.999158978462219
